id,title,artist_title,classification_titles
36504,Tile with Musician and Dancer,Islamic,earthenware;asian art;ceramics;decorative arts
43244,Saint Jerome Reading in an Italian Landscape,Rembrandt van Rijn,etching;print;prints and drawing;paper;drypoint;burin
41375,Flowers,Suiseki Sato,print;asian art
39920,View of the Villa d'Este,Claude Thienon,lithograph;print;prints and drawing
44741,The Annunciation,Alessandro Vittoria,relief;sculpture;bronze;Italian
43925,"The Circumcision of Christ, from The Life of the Virgin",Albrecht Dürer,woodcut;print;prints and drawing;paper
45240,The Bathers,Paul Cezanne,oil on canvas;french;oil paintings (visual works);paint;painting;european painting
48121,"View of the Remains of the Praetorian Fort [the Poecile], Hadrian's Villa, Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48064,"View of the Grand Cascade at Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
47580,Peonies,Kitagawa Utamaro,woodblock print;print;asian art
49212,"Sheet of Studies: Head of the Artist, a Beggar Couple, Heads of an Old Man and Old Woman, etc.",Rembrandt van Rijn,etching;print;prints and drawing;paper
48164,"Another view of the Temple of the Sibyl in Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48151,"View of the Villa of His Eminence Cardinal Alessandro Albani, outside Porta Salaria, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
53045,Port of Bordeaux,André Lhote,painting;modern and contemporary art
52983,The Past and the Present,Gertrude Abercrombie,painting;modern and contemporary art
55718,"Title Page, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
55557,The Old Shepherd,"Conte Antonio Maria Zanetti, the Elder",woodcut;print;prints and drawing
55199,Old Shepherd Leaning on a Staff,Parmigianino,ink with wash;drawings (visual works);prints and drawing
61128,At the Moulin Rouge,Henri de Toulouse-Lautrec,oil on canvas;french;oil paintings (visual works);paint;painting;european painting
57703,A Pine Tree and Camellias,Niwa Tokei,print;asian art
55721,"January, from Twelve Months of Flowers",Henry Fletcher,engraving;print;prints and drawing
61910,Bowl or Cup,Ancient Roman,bowl;glass;vessel;ancient art;container
62181,Saint Jerome in the Desert,Hieronymus Cock,etching;print;prints and drawing
61921,Bowl or Cup,Ancient Roman,glass;bowl;drinking vessel;vessel;ancient art
64936,Relief Showing the Head of a Winged Genius,Neo-Assyrian,stone;sculpture;ancient art
64520,"View of the Villa d'Este, Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
64507,"View of the Small Waterfall and Rapids, Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
67428,Jug,Ancient Roman,vessel;glass;ancient art;container
65857,"On ""That"" Street",Charles Demuth,watercolor;drawings (visual works);prints and drawing
70593,Garden Scene,Islamic,miniature painting;painting;asian art
68802,Ascent,Nancy Hemenway Barton,textile;needlework (visual works);fiber art
72177,Heart of Darkness,Sean Scully,painting;modern and contemporary art
75557,Manuscript of Kulliyat (Complete Works) by Sa'di with Lacquered Cover,Islamic,book;asian art;persian;iran
78503,Portrait of Emily Crane Chadbourne,Tsugouharu Foujita,oil on canvas;painting;modern and contemporary art
81235,An Autumn Gift,Katsushika Hokusai,woodblock print;print;asian art
79763,Door,Giovanni Domenico Tiepolo,wood;architectural fragment;european decorative arts;furniture
78888,A Chalice,Wenceslaus Hollar,etching;print;prints and drawing
84092,Roma Antica,Giovanni Paolo Panini,watercolor;drawings (visual works);prints and drawing
83613,"'Il Mascherone,' a Rocaille Fountain on the Grounds of the Villa Borghese",Richard Wilson,chalk;drawings (visual works);prints and drawing
87088,Water Lily Pond,Claude Monet,painting;european painting;paint;oil paintings (visual works);oil on canvas;french;modern and contemporary art
103139,"Waterloo Bridge, Gray Weather",Claude Monet,painting;european painting;french;oil paintings (visual works);oil on canvas;modern and contemporary art
93444,Around the Void II (Alrededor del vacio II),Eduardo Chillida,bronze;metal;sculpture;modern and contemporary art
105073,The Creation of Adam,Giovanni Benedetto Castiglione,monotype;print;prints and drawing;paper
103448,After Franz Marc: 1-6,Sherrie Levine,painting;modern and contemporary art;print;prints and drawing
103309,Eggplant with fruit and flowers,Ônishi Chinnen,print;asian art
109413,"The Medici Vase, plate one from The Six Large Views of Rome and the Campagna",Stefano della Bella,etching;print;prints and drawing
118769,Bronze Chair,Scott Burton,bronze;metal;sculpture;modern and contemporary art
121416,"The Colossal Statue of the Apennines, from Views of Villa di Pratolino",Stefano della Bella,etching;print;prints and drawing
121415,"Les jets d'eau sortant de terre, from Vues de la villa de Pratolino",Stefano della Bella,etching;print;prints and drawing
121412,The Grotto of Pan and Fame,Stefano della Bella,etching;print;prints and drawing
121408,"South Facade of the Villa and the Great Meadow, from Views of the Villa Pratolino",Stefano della Bella,etching;print;prints and drawing
123740,"Pedro Romero killing the halted bull, plate 30 from The Art of Bullfighting",Francisco José de Goya y Lucientes,etching;print;prints and drawing
121628,Rehearsal of the Pasdeloup Orchestra at the Cirque d'Hiver,John Singer Sargent,painting;american arts
127983,"April, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127982,"March, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127981,"February, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127988,"September, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127987,"August, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127986,"July, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127984,"May, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127991,"December, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127990,"November, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127989,"October, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
133852,Self-Portrait,Gertrude Abercrombie,painting;modern and contemporary art
131827,Divan of Hafiz,Islamic,book;asian art
131466,"1. Arch of Titus. 2. Villa Farnese. 3. Columns of the Temple of Jupiter Stator [the Supporter]. 4. Arch of Septimius Severus. 5. Temple of Peace, plate six from Some Views of Triumphal Arches and other Monuments",Giovanni Battista Piranesi,etching;print;prints and drawing
137054,Equestrian Ballet in the Amphitheater of the Boboli Gardens,Stefano della Bella,etching;print;prints and drawing
134050,Broken and Restored Multiplication,Suzanne Duchamp,painting;Modern Art Highlights;Surrealism Highlights
141448,"Heavenly Ganymede, plate XV from the second issue of Specimens of Polyautography",Henry Fuseli,lithograph;print;prints and drawing;paper
137226,Four Tiles with a Figural Scene,Islamic,earthenware;asian art;ceramics;architectural fragment
146512,Eviscerated Corpse,Mike Kelley,sculpture;modern and contemporary art
145851,Heads,Christina Ramberg,etching;print;prints and drawing
144373,Landscape with Cattle by a Cottage,Thomas Gainsborough,etching;print;prints and drawing
147064,Lovers Surprised by Death,"Hans Burgkmair, the elder",woodcut;print;prints and drawing
146913,Untitled (Check 2),Sherrie Levine,painting;modern and contemporary art
146902,Aluminum Chair,Scott Burton,sculpture;modern and contemporary art
147067,Interior View of the Church of St. Peter's in the Vatican,Francesco Panini,ink and wash;drawings (visual works);prints and drawing
152437,Fisherman's Cottage,Harald Oscar Sohlberg,oil on canvas;painting;modern and contemporary art
151911,Michael,Rashid Johnson,brownprints (Van Dyke prints);photographic process;photography;photograph
151910,Jonathan's Hands,Rashid Johnson,brownprints (Van Dyke prints);photographic process;photography;photograph
154855,Untitled,Christina Ramberg,fiber-tipped pen;drawings (visual works);prints and drawing
154853,Untitled,Christina Ramberg,fiber-tipped pen;drawings (visual works);prints and drawing
154858,Untitled,Christina Ramberg,fiber-tipped pen;drawings (visual works);prints and drawing
154857,Untitled,Christina Ramberg,drawings (visual works);prints and drawing
154861,Untitled,Christina Ramberg,fiber-tipped pen;drawings (visual works);prints and drawing
154859,Untitled,Christina Ramberg,graphite;drawings (visual works);prints and drawing
154869,Untitled,Christina Ramberg,graphite;drawings (visual works);prints and drawing
154867,Untitled (recto and verso),Christina Ramberg,fiber-tipped pen;drawings (visual works);prints and drawing
154872,Untitled,Christina Ramberg,graphite;drawings (visual works);prints and drawing
191183,Madame Paul Escudier (Louise Lefevre),John Singer Sargent,oil on canvas;painting
184061,"Dried Leaves Falling series, #3",Esther Parada,photograph;photography
180235,"Heirs Come to Pass, 3",Martina A. Lopez,photograph;photography
196410,"Analogía I, (2da. versión)",Victor Grippo,installation
195381,Saccomazzone Players,Orazio Mochi,statuette;sculpture;bronze;Italian
228882,The Jazz Wall,Marisol,wood;sculpture
222761,Untitled (Composition for a Peace Poster),Alberto Beltrán,linocut;paper;print;prints and drawing
240852,Untitled,Luis Medina,color photograph;photograph;photography
239740,"Egypte, Nubie, Palestine et Syrie",Aimé Rochas,photograph;photography
235621,"Our House, from the series ""Chickenbones and Watermelon Seeds: The African American Experience as Abstract Art""",Rashid Johnson,photograph;photography
250522,Cupid and Psyche,Abbe de Saint Non,print;aquatint;paper;prints and drawing
240860,Untitled,Luis Medina,color photograph;photograph;photography
240859,Untitled,Luis Medina,color photograph;photograph;photography
260045,Self-Portrait as a Chimera,Sarah Bernhardt,sculpture;bronze;france;french;portrait
259505,"Softly, effectively",Park McArthur,sculpture
262127,Head (Head of a Man),Elizabeth Catlett,sculpture;figure
260696,Mary in the Sky With Diamonds,Candida Alvarez,painting
265371,Landscape with Rocks,George Sand,prints and drawing;drawing;gouache;paper;watercolor
262748,The Grotto of Posillipo (La Grotta di Posillipo),Louis Jean Desprez,prints and drawing;paper;print
267240,Contemporary American Sculpture,Ben Shahn,painting
267180,Four Pentagons,Robert Mangold,painting
265942,"The Captive, from Sterne",Josiah Boydell,prints and drawing;chalk;drawing;gouache;paper;watercolor
268590,Mars and Venus Surprised by Vulcan,Hendrick Goltzius,print;paper;prints and drawing;engraving
267846,The Holy Family,"Pieter de Jode, I",engraving;paper;print;prints and drawing
267531,The North Star,Carrie Mae Weems,photography;21st Century;photograph
268987,The North Star,Carrie Mae Weems,photography;21st Century;photograph
268986,The North Star,Carrie Mae Weems,photography;21st Century;photograph
268985,The North Star,Carrie Mae Weems,photography;21st Century;photograph
268984,The North Star,Carrie Mae Weems,photography;21st Century;photograph
268983,The North Star,Carrie Mae Weems,photography;21st Century;photograph
269966,El Mago/Pim Pam Pum (The Magician/Pim Pam Pum),Maruja Mallo,painting
269137,Double academy of two male nudes,Carle van Loo,prints and drawing;drawing;paper;chalk
268989,The North Star,Carrie Mae Weems,photography;21st Century;photograph
268988,The North Star,Carrie Mae Weems,photography;21st Century;photograph
140004,Waiter,Isaac Liger,silver;metalwork;european decorative arts
84824,Waiter,Isaac Liger,silver;metalwork;european decorative arts
84804,Tazza,Joseph Ward,silver;metalwork;european decorative arts
140005,Trencher Salt,Edward Wood,silver;metalwork;european decorative arts
84828,Pepper Caster,William Fordham,silver;metalwork;european decorative arts
84826,Trencher Salt,Edward Wood,silver;metalwork;european decorative arts
140007,Waiter,Edward Feline,silver;metalwork;european decorative arts
140006,Waiter,Edward Feline,silver;metalwork;european decorative arts
84832,Waiter,Edward Feline,silver;metalwork;european decorative arts
140008,Waiter,Edward Feline,silver;metalwork;european decorative arts
58648,Nutmeg Grater,Thomas Matthews,silver;metalwork;european decorative arts
10908,Pair of Taper Holders,Matthew Cooper,silver;metalwork;european decorative arts
89677,Candle Snuffer with Tray,Joachim Martin,candleholder;silver;metalwork;european decorative arts
37499,Pair of Casters,Paul de Lamerie,silver;metalwork;european decorative arts
84809,Tazza,Thomas Ash,silver;metalwork;european decorative arts
84807,Tazza,Joseph Ward,silver;metalwork;european decorative arts
44009,Tazza,William Hough,silver;metalwork;european decorative arts
100724,Wine Taster,S A,drinking vessel;silver;metalwork;european decorative arts
7700,Footed Salver,John Sutton,silver;metalwork;european decorative arts
201704,"Eugene and Nancy Bavinger House, Norman, Oklahoma, Section of Suspended Bedroom Area and Detail of Cable-Strut Connection at Roof, Norman, Oklahoma, Detail Drawing",Bruce Goff,architectural drawing;architecture;drawings (visual works)
102136,Quaich,R. B.,silver;metalwork;european decorative arts
184193,Delphine,Diana Thater,new media;time-based works;funerary
89176,Oval Serving Platter,John Ingram,vessel for serving food;dish (vessel);pewter;metalwork;european decorative arts
89010,Plate,"Joseph Heilingotter, IV","plate (general, dish);pewter;dish (vessel);metalwork;european decorative arts"
59024,Plate,A. Carter,"plate (general, dish);pewter;dish (vessel);metalwork;european decorative arts"
34912,Inkwell,Isaac Ruprecht,pewter;metalwork;european decorative arts
132818,Plate,Anton Singer,"plate (general, dish);pewter;dish (vessel);metalwork;european decorative arts"
92723,Plate,Anton Singer,"plate (general, dish);pewter;dish (vessel);metalwork;european decorative arts"
34918,Guild Plaque for a Beer Brewer,John Rote,pewter;metalwork;european decorative arts
260741,Untitled,Jirô Yoshihara,drawing;paper;prints and drawing;brush and ink
186049,The First Part of the Return from Parnassus,Cy Twombly,painting
146989,Clown Torture,Bruce Nauman,multi-channel video installations;sculpture;video art;modern and contemporary art;new media;time-based works;funerary
6005,The Banks of the Marne in Winter,Camille Pissarro,oil on canvas;paint;painting;european painting
238193,Untitled,David Novros,painting
186425,Afternoon Tea,Jean-François Rafaëlli,painting;paint;oil paintings (visual works);french;european painting;oil on canvas
55522,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
45075,"Signal T, from 21 Estampadores de Colombia, Mexico y Venuzuela",Vicente Rojo,lithograph;print;prints and drawing
227786,"Mexico in the Rain L1, from México Nueve",Vicente Rojo,lithograph;paper;print;prints and drawing
227785,"Mexico in the Rain L2, from México Nueve",Vicente Rojo,lithograph;paper;print;prints and drawing
13856,Chiyoda Castle,Hashimoto Okiie,woodblock print;print;asian art
5015,Hikone Castle,Hashimoto Okiie,print;asian art
16282,Otemon Gate,Hashimoto Okiie,woodblock print;print;asian art
16135,The Ruins of Osaka Castle at Night,Hashimoto Okiie,woodblock print;print;asian art
16132,"Morning Haze, Osaka Castle",Hashimoto Okiie,woodblock print;print;asian art
87242,A Garden with Stepping Stones (Tobi ishi no aru niwa),Hashimoto Okiie,woodblock print;print;asian art
84192,Hikone Castle,Hashimoto Okiie,woodblock print;print;asian art
84190,Watercolor for Hikone Castle,Hashimoto Okiie,woodblock print;print;asian art
69256,Stone (Stone Garden) (Ishi [ishi niwa]),Hashimoto Okiie,woodblock print;print;asian art
99470,Refreshing Autumn (Garden No. 22) (Soshu [Niwa No. 22]),Hashimoto Okiie,woodblock print;print;asian art
99374,Stepped Waterfall (Dandan no taki),Hashimoto Okiie,woodblock print;print;asian art
94200,Stone Bridge (Ishibashi),Hashimoto Okiie,woodblock print;print;asian art
101467,Garden with Narrow Path (Komichi no niwa),Hashimoto Okiie,woodblock print;print;asian art
99472,"Iris (Shobu), No. 2 from the series ""Flowers of Japan Series (Nihon no hana rensaku)""",Hashimoto Okiie,woodblock print;print;asian art
99471,Garden in Ryuanji (Ryuanji niwa),Hashimoto Okiie,woodblock print;print;asian art
150396,Maple Trees at Kyoko Pond (Kyokochi koyo),Hashimoto Okiie,woodblock print;print;asian art
150395,Girl and Irises (Shobu to shojo),Hashimoto Okiie,woodblock print;print;asian art
118626,"Stillness (Sand Garden II, Tenryuji) (Seijaku [Suna niwa II Tenryuji])",Hashimoto Okiie,woodblock print;print;asian art
182255,Courtyard B (Nakaniwa B),Hashimoto Okiie,woodblock print;print
150398,"Stone and Sand Garden E (Ishi to suna no niwa, E)",Hashimoto Okiie,woodblock print;print;asian art
150397,Garden No. 14 (Niwa No. 14),Hashimoto Okiie,woodblock print;print;asian art
221139,Sketch for Hikone Castle and Inuyama Castle,Hashimoto Okiie,woodblock print;print
182256,Garden in Ryuanji (Ryuanji niwa),Hashimoto Okiie,woodblock print;print
13960,"Kagogahana, near Matsue, Shimane Prefecture",Hiratsuka Un'ichi,woodblock print;print;asian art
13962,"Kokubun-ji Temple at Hida, Gifu Prefecture",Hiratsuka Un'ichi,woodblock print;print;asian art
13971,"Old Pagoda in Clearing Snow, Mount Koya",Hiratsuka Un'ichi,woodblock print;print;asian art
13969,Young Woman in Blue Kimono,Hiratsuka Un'ichi,woodblock print;print;asian art
13964,"Pine Avenue of Tsuda, near Matsue",Hiratsuka Un'ichi,woodblock print;print;asian art
13980,"Fragments of Buddhist Sculpture at the Usuki Site, Oita",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
13976,"Mount Amagi Imperial Forest, Izu",Hiratsuka Un'ichi,woodblock print;print;asian art
13973,"Site of the Capital City of Ancient Paekche, Korea",Hiratsuka Un'ichi,woodblock print;print;asian art
16142,Stone Image of Bishunu,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16140,Bunraku Doll Yaeya Oshichi,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16306,"Amakusa Bay, Kyushu",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16216,"Early Autumn at Horyuji Temple, Nara",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16213,"Fragments of Buddhist Sculpture at the Usuki Site, Oita",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16310,Mount Fuji in Early Morning from Lake Hakone,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16308,"Sunset at Matsue Castle, Shimane Pefecture",Hiratsuka Un'ichi,print;asian art
53822,"Great Eastern Gate, Seoul, Korea",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
16311,"Site of the Capital City of Ancient Paekche, Korea",Hiratsuka Un'ichi,woodblock print;print;asian art
53832,"Qufu Village, Shandong Province, China",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53829,"Stone Buddha ""Siva"" Yungkang Temple, Mongolia",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53826,"Ujibashi Bridge to the Grand Shrine of Ise, Mie",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53840,Nude at Studio,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53838,Mirror Number One,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53835,"Building with Tower, U.S.",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53847,"Stone Buddha ""Vishnu"" Yungkang Cave Temple, Mongolia",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
53844,"Buddha Images in the Open Air at Asakusa Kannon Temple, Tokyo",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58530,Girl in Cotton Dress,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58529,"Sutra Depository at Iwayaji Temple, Aichi Prefecture",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58528,Saint Nichiren,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58532,Portrait of James Michner,Hiratsuka Un'ichi,woodblock print;print;asian art
58531,"Pagoda Tyoyo, in Early Spring, Manchuria",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58536,Georgetown University Clock Tower,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58535,Self-Portrait,Hiratsuka Un'ichi,woodblock print;print;asian art
58533,Structural Interior of Tengaimon Gate,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58538,House and Trees,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
58537,Angel Dreaming Room,Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
118802,"Nichiren Shonin, from the series Mantai Suriutsuchi No Uchi",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
111005,"Sukiya Bridge, from the series Recollections of Tokyo",Hiratsuka Un'ichi,woodblock print;print;asian art
110999,"Akasaka Palace, from the series Recollections of Tokyo",Hiratsuka Un'ichi,woodblock print;print;asian art
150390,View of Azuchi,Hiratsuka Un'ichi,woodblock print;print;asian art
150389,Ocean View of Ohara,Hiratsuka Un'ichi,woodblock print;print;asian art
150388,Karasaki from Eight Views of Omi,Hiratsuka Un'ichi,woodblock print;print;asian art
155629,"Sukiya Bridge, from the series Recollections of Tokyo",Hiratsuka Un'ichi,woodblock print;print;asian art
150583,"View of the Japanese Garden, from the series ""Prints of the Shinjuku Imperial Garden (Shinjuku Gyoen hanga)""",Hiratsuka Un'ichi,woodblock print;print;asian art
150392,Chichibu Nagatoro,Hiratsuka Un'ichi,woodblock print;print;asian art
182059,Woodpecker,Hiratsuka Un'ichi,woodblock print;asian art;print
158497,Greek Nude and Tang Period Flying Horse (Rafu To Temma),Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
155630,"Akasaka Palace, from the series Recollections of Tokyo",Hiratsuka Un'ichi,woodblock print;print;asian art
182086,Plum Blossom and Small Bird,Hiratsuka Un'ichi,woodcut;woodblock print;asian art;print
182085,Kingfisher (Kawasemi),Hiratsuka Un'ichi,woodcut;print;asian art
182083,Bird - Small Thing during the Day,Hiratsuka Un'ichi,woodcut;print;asian art
182088,Parrot,Hiratsuka Un'ichi,woodcut;asian art;print
182087,Bird on Desk (Kijo kotori),Hiratsuka Un'ichi,woodcut;print;asian art;woodblock print
182091,Wild Keshi,Hiratsuka Un'ichi,woodblock print;print;asian art
182090,Plum Blossom,Hiratsuka Un'ichi,woodcut;print;asian art
182089,Plant,Hiratsuka Un'ichi,woodcut;print;asian art
182094,Lake Aoki,Hiratsuka Un'ichi,woodcut;print;asian art
182093,Thistle and Leaves,Hiratsuka Un'ichi,woodcut;print;asian art
182110,Landscape Scenes in Ikejiri Setagaya,Hiratsuka Un'ichi,woodcut;print;asian art
182109,Lace,Hiratsuka Un'ichi,woodcut;print;asian art
182113,Five Pine Trees in Seki (In the Fog) (Seki no gohonmatsu),Hiratsuka Un'ichi,woodcut;asian art;print
182112,Matsue Tenjin River (Matsue Tenjingawa),Hiratsuka Un'ichi,woodcut;asian art;print
182111,Lake Kizaki in Shinshu (Modern) (Shinshu kizakiko),Hiratsuka Un'ichi,woodcut;asian art;print
182115,Hairdresser,Hiratsuka Un'ichi,woodcut;asian art;print
182114,"Ancient Tree in Georgetown, Washington, D.C.",Hiratsuka Un'ichi,woodcut;asian art;print
182116,Fruit in Wine Basket,Hiratsuka Un'ichi,woodcut;asian art;print
182117,Beach Outside of Hamlet,Hiratsuka Un'ichi,woodcut;print;asian art
182119,Carnation,Hiratsuka Un'ichi,woodcut;asian art;print
182118,Hiroko (Hiratsuka's oldest daughter),Hiratsuka Un'ichi,woodcut;asian art;print
182122,New Year's Greeting,Hiratsuka Un'ichi,woodcut;asian art;print
182121,Adam and Eve,Hiratsuka Un'ichi,woodcut;asian art;print
182120,Madam Lillian,Hiratsuka Un'ichi,woodcut;asian art;print
182126,Landscape in Sagami,Hiratsuka Un'ichi,woodcut;asian art;print;woodblock
182125,Bird in Plum Tree (Year of the Snake),Hiratsuka Un'ichi,woodcut;asian art;print
182124,Carp,Hiratsuka Un'ichi,woodcut;asian art;print
182130,"Cape Nichiren, Izu Peninsula",Hiratsuka Un'ichi,woodblock print;asian art;print;woodblock
182129,"Komoro in Nagano, Early Spring",Hiratsuka Un'ichi,woodcut;asian art;print;woodblock
182128,Isumo Mountains,Hiratsuka Un'ichi,woodcut;asian art;print
182132,"Mount Myogi at Sunset, Gunma Prefecture (Kareyuku Myogi)",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
182131,"Sunset at Matsue Castle, Shimane Prefecture",Hiratsuka Un'ichi,woodblock print;asian art;print;woodblock
182135,Nude (Rafu),Hiratsuka Un'ichi,woodblock print;asian art;print;woodblock
182134,Daibutsuden (Asa no Daibutsuden),Hiratsuka Un'ichi,woodblock print;asian art;print;woodblock
182133,"Statue of of Jizo at Jurin-in in Takahata, Nara, from the series ""Ten Views of Nara""",Hiratsuka Un'ichi,woodblock print;print;asian art;woodblock
182258,"Nishdai Gate, Horyu Temple",Hiratsuka Un'ichi,woodblock print;woodblock;print
182136,Mt. Uchikongo Falls (banbak-do) Korea,Hiratsuka Un'ichi,woodblock print;asian art;print;woodblock
