title,creation_date,url,images,creators
Costume Study,before 1852,https://clevelandart.org/art/2018.43,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.43/2018.43_web.jpg', 'width': '629', 'height': '900', 'filesize': '202313', 'filename': '2018.43_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.43/2018.43_print.jpg', 'width': '2378', 'height': '3400', 'filesize': '2327497', 'filename': '2018.43_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.43/2018.43_full.tif', 'width': '4358', 'height': '6232', 'filesize': '81507228', 'filename': '2018.43_full.tif'}}","[{'id': 53819, 'description': 'Henri Lehmann (French, 1814–1882)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Student of John-Auguste-Dominique Ingres, teacher of Camille Pissarro, Jean Jacques Rousseau and Georges Seurat', 'name_in_original_language': None, 'birth_year': '1814', 'death_year': '1882'}]"
Nude Study of an Old Man,before 1852,https://clevelandart.org/art/2018.44,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.44/2018.44_web.jpg', 'width': '624', 'height': '900', 'filesize': '148015', 'filename': '2018.44_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.44/2018.44_print.jpg', 'width': '2358', 'height': '3400', 'filesize': '1695573', 'filename': '2018.44_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.44/2018.44_full.tif', 'width': '4465', 'height': '6437', 'filesize': '86253008', 'filename': '2018.44_full.tif'}}","[{'id': 53819, 'description': 'Henri Lehmann (French, 1814–1882)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Student of John-Auguste-Dominique Ingres, teacher of Camille Pissarro, Jean Jacques Rousseau and Georges Seurat', 'name_in_original_language': None, 'birth_year': '1814', 'death_year': '1882'}]"
Children with a Donkey (recto); Landscape (verso),c. 1850,https://clevelandart.org/art/2015.441,{},"[{'id': 1635, 'description': 'Isidore Pils (French, 1813/15–1875)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': ""In 1832, after an initial training with Guillaume Lethière (1760-1832), Pils entered the École des Beaux-Arts where he studied under François-Édouard Picot (1786-1868), with whom he became close friends. As winner of the Prix de Rome in 1838, with Saint Peter Healing a Lame Man at the Gate of the Temple, Pils went to the Académie de France in Rome, then led by Ingres (q.v.), and stayed in Italy until 1844. Often in poor health, Pils nevertheless managed to travel around and study the artifacts from antiquity. But his works were generally harshly criticized until his return to France, where his first success came five years later with the patriotic Rouget de l'Isle Singing the Marseillaise at the Residence of the Mayor of Strasbourg (1849, Historical Museum, Strasbourg). Pils would often choose his subjects in order to treat the life of the poor and ordinary people, such as his Death of a Sister of Charity (Salon 1850-51, Musée d'Orsay, Paris). A favorite of the imperial regime, Pils followed the French army to Crimea in 1854-55 and recorded the military campaign of Napoleon III. His Battle of Alma, 20 December 1854 (1861, Musée du Château de Versailles) was highly praised, and in 1863 he left for Algeria to carry out a commission for the emperor. One year later Pils became professor at the École des Beaux-Arts, and he would receive several honors and awards. The artist was given commissions for decorations in the churches of Saint-Eustache (1854) and Sainte-Clotilde (1858) in Paris, and he painted murals at the Opéra (1865-75). Pils also made several watercolors during the siege of Paris by the Prussians in 1871. Weakened by health problems, he last exhibited at the Salon of 1875, the year of his death."", 'name_in_original_language': None, 'birth_year': '1813', 'death_year': '1875'}]"
"Le Petit Trianon, Versailles",1700s,https://clevelandart.org/art/2017.210,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2017.210/2017.210_web.jpg', 'width': '900', 'height': '645', 'filesize': '321786', 'filename': '2017.210_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2017.210/2017.210_print.jpg', 'width': '3400', 'height': '2437', 'filesize': '3511164', 'filename': '2017.210_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2017.210/2017.210_full.tif', 'width': '13072', 'height': '9368', 'filesize': '367403372', 'filename': '2017.210_full.tif'}}","[{'id': 306955, 'description': 'Louis-Nicolas van Blarenberghe (French, 1716–1812)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1716', 'death_year': '1812'}]"
Woman Entering a Fiacre (recto); Right Profile of Man Wearing Tall Hat (verso),probably late 1800s,https://clevelandart.org/art/2018.45,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.45/2018.45_web.jpg', 'width': '900', 'height': '496', 'filesize': '202676', 'filename': '2018.45_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.45/2018.45_print.jpg', 'width': '3400', 'height': '1874', 'filesize': '1891763', 'filename': '2018.45_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.45/2018.45_full.tif', 'width': '12105', 'height': '6671', 'filesize': '242287868', 'filename': '2018.45_full.tif'}}","[{'id': 13390, 'description': 'Jean Louis Forain (French, 1852–1931)', 'extent': None, 'qualifier': 'attributed to', 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1852', 'death_year': '1931'}]"
A Hunting Party at Marly,late 17th or early 18th century,https://clevelandart.org/art/2017.211,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2017.211/2017.211_web.jpg', 'width': '641', 'height': '900', 'filesize': '203468', 'filename': '2017.211_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2017.211/2017.211_print.jpg', 'width': '2420', 'height': '3400', 'filesize': '2094124', 'filename': '2017.211_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2017.211/2017.211_full.tif', 'width': '5374', 'height': '7549', 'filesize': '121737592', 'filename': '2017.211_full.tif'}}","[{'id': 53849, 'description': 'Jean Baptiste Martin, Le Vieux (French, 1659–1735)', 'extent': None, 'qualifier': 'attributed to', 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1659', 'death_year': '1735'}]"
Reclining Nude with Cupid,1700s,https://clevelandart.org/art/2019.257,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2019.257/2019.257_web.jpg', 'width': '900', 'height': '638', 'filesize': '308952', 'filename': '2019.257_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2019.257/2019.257_print.jpg', 'width': '3400', 'height': '2411', 'filesize': '4173455', 'filename': '2019.257_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2019.257/2019.257_full.tif', 'width': '11783', 'height': '8355', 'filesize': '295367400', 'filename': '2019.257_full.tif'}}","[{'id': 385712, 'description': 'Giovanni Battista Cipriani (Italian, 1727–1785)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Italian painter, draftsman, and designer, 1727-1785, active in England', 'name_in_original_language': None, 'birth_year': '1727', 'death_year': '1785'}]"
A Caravan in the Desert,c. 1860s,https://clevelandart.org/art/2019.61,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2019.61/2019.61_web.jpg', 'width': '900', 'height': '576', 'filesize': '300290', 'filename': '2019.61_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2019.61/2019.61_print.jpg', 'width': '3400', 'height': '2176', 'filesize': '4040361', 'filename': '2019.61_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2019.61/2019.61_full.tif', 'width': '10375', 'height': '6641', 'filesize': '206728284', 'filename': '2019.61_full.tif'}}","[{'id': 53866, 'description': 'Narcisse Berchère (French, 1819–1891)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1819', 'death_year': '1891'}]"
Two Boats at the Harbor of Dieppe,1854,https://clevelandart.org/art/2021.108,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2021.108/2021.108_web.jpg', 'width': '900', 'height': '603', 'filesize': '217970', 'filename': '2021.108_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2021.108/2021.108_print.jpg', 'width': '3400', 'height': '2277', 'filesize': '2859604', 'filename': '2021.108_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2021.108/2021.108_full.tif', 'width': '9225', 'height': '6179', 'filesize': '171030022', 'filename': '2021.108_full.tif'}}","[{'id': 1658, 'description': 'Eugène Delacroix (French, 1798–1863)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Eugène Delacroix studied under history painter Pierre-Narcisse Guérin (1774-1833) and at the École des Beaux-Arts, though he did not succeed in competitions there. He soon befriended romantic painter Théodore Géricault (1791-1824) and exhibited at his first Salon in 1822 his powerful, moody The Barque of Dante (Musée du Louvre, Paris). In the next Salon, inspired by the recent events in the Greeks\' struggle for independence against the Turks, Delacroix showed Scenes from the Massacres at Chios (Musée du Louvre, Paris), a painting whose anti-academic composition, free brushwork, and brilliant color caused hostile critics to accuse the artist of the ""massacre of painting."" Nevertheless, he was awarded a Salon medal and the state purchased the picture. \r\nAfter the early death of Géricault, the young artist became the titular head of the French romantic artistic movement, as much for his innovative technique as his new themes. Widely read and an Anglophile, Delacroix drew frequently from British literature, especially Shakespeare, Byron, and Sir Walter Scott. He also developed a strong interest in orientalist subjects, spurred by the five-month trip to Morocco and southern Spain he took in 1832. He stressed the creative and imaginative elements of painting and opposed the academy for its rote learning and the bourgeoisie for its overly materialistic interests. Delacroix discussed his aesthetic ideas with an ever-expanding circle of writers, musicians, and artists that he frequented, including pianist-composer Frédéric Chopin and writer George Sand. But ultimately he developed a personal conception of beauty that could only be expressed in an individualized manner. \r\nRecent studies have revised the long-standing interpretation of Delacroix as a radical, anticlassical, misunderstood, and unsupported genius. He greatly admired antiquity and the classical authors but insisted on avoiding the narrow or didactic view of them offered by the academies. He may not have emulated classical statuary as sources for his figures, but he did often represent heroic nude figures. For all his insistence on invention, Delacroix retained some sense of documentary reconstruction, for he made numerous studies of costumes and weapons and did other kinds of research before tackling certain subjects. From the beginning and throughout his career, Delacroix received many religious and historical painting commissions, from provincial churches to government buildings, under different rulers and even political systems. His allegorical work Liberty Leading the Barricades (1830-31, Musée du Louvre, Paris) represents the only painting in which the artist referred to a contemporary political event in France, the revolution that overthrew Louis XVIII and the Bourbon monarchy. This, too, was purchased by the state. In 1833 he was asked to decorate with allegories the Salon du Roi of the Palais Bourbon, the seat of the deputies. Their success brought him additional commissions in the same building, such as the library (1838), and then the library in the senate (1841-46), housed in the Palais du Luxembourg. His historical, religious, and allegorical paintings were often criticized by more conservative critics for a lack of decorum, anatomical distortions, too-bright or unnaturalistic color, and free brushwork, but he continued to find work because he was one of the few artists who continued to explore these ""elevated"" genres and had a sure sense of the decorative. \r\nExtremely prolific, Delacroix accomplished a major mural commission for the church of Saint-Sulpice in Paris (1850-63) the year before his death. He was even elected in 1857 to the Académie des Beaux-Arts, but younger artists consistently regarded him as antiestablishment and a paragon of artistic experimentation. He wrote extensively on art and aesthetic issues, both in his private diaries and for published journals.1\r\n1. Recently, scholars such as Michele Hannoosh, Painting and the Journal of Eugene Delacroix (Princeton, 1995), have examined the content and style of Delacroix\'s texts for what they might tell about Delacroix the writer as well as the work and creative process of Delacroix the artist.\r\nDelacroix was one of the most innovative and successful painters of the first half of the 19th century. He is known as the last great history painter and his art is the ideal of Romanticism in the visual arts. Delacroix\'s career is marked by the paradox between the revolutionary and the conventional. He was in conflict with the artist Ingres and was seen as the leading figure of the French Romantic movement; he was famed for undermining the tradition of painting established by David, yet he benefited from official patronage from the beginning of the Restoration (1814-1830) until the Second Empire (1852-1870).', 'name_in_original_language': None, 'birth_year': '1798', 'death_year': '1863'}]"
Women in an Interior,c. 1825–35,https://clevelandart.org/art/2018.1062,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1062/2018.1062_web.jpg', 'width': '900', 'height': '656', 'filesize': '357842', 'filename': '2018.1062_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1062/2018.1062_print.jpg', 'width': '3400', 'height': '2480', 'filesize': '3375507', 'filename': '2018.1062_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1062/2018.1062_full.tif', 'width': '7091', 'height': '5172', 'filesize': '110057332', 'filename': '2018.1062_full.tif'}}","[{'id': 1709, 'description': 'Paul Delaroche (French, 1797–1856)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': ""Son of the art dealer and collector Grégoire-Hippolyte (d. 1824), Paul Delaroche entered the École des Beaux-Arts in 1816 and studied under landscape painter Louis-Étienne Watelet (1780-1866), himself a student of Pierre-Henri de Valenciennes (1750-1819). After his failure in the Prix de Rome competitions for landscape, newly instituted in 1817, Delaroche switched in 1818 to the studio of history painter Gros (q.v.). \r\nDelaroche's first participation in the Salon in 1819 won him praise for his paintings of subjects from the Old and New Testaments. At this time the Bourbon monarchy, reinstalled since 1815, promoted religious painting as the most moral and principled subjects, in large part their reaction to the mythological painting produced during Napoleon's reign, which needed new kinds of art and iconography to express the authority of his upstart political regime. The more radical, independent painter Géricault (1791-1824) liked Delaroche's early work for its similarities to the dramatic color and lighting of Gros. \r\nBy the late 1820s and early 1830s Delaroche changed course to depict English history subjects, which won him wide fame and considerable prices. The first of these paintings, The Death of Queen Elizabeth of England (Musée du Louvre, Paris), appeared in the Salon of 1827-28, but the painter's greatest success came in the 1831 Salon, where he exhibited Cromwell Gazing into the Coffin of Charles I (Musée des Beaux-Arts, Nîmes) and The Children of Edward IV (Musée du Louvre, Paris). The latter painting portrayed the incipient murder of the two royal heirs by usurpers, but it was so popular that the French king, Louis-Philippe, himself an Orléans replacement for the Bourbon monarchs, bought it for 6,000 francs. The painting also inspired playwright Casimir Delavigne's successful drama Les enfants d'Édouard (The Children of Edward), first performed in 1833 and dedicated to Delaroche. \r\nBecause of the triumph of the 1831 Salon, Delaroche was elected to the Académie des Beaux-Arts in 1832. In 1833 he was named professor to the École des Beaux-Arts and received a commission for scenes from the life of Mary Magdalene for the church of the Madeleine in Paris. For this latter project he wished to emulate Renaissance frescoes and so went to Italy to study them. Upon his return, he learned that he would share the commission with another artist and withdrew from the project. After the negative criticism of his St. Cecilia at the 1837 Salon, Delaroche did not exhibit again in the Salons. But in that same year he was awarded his most important commission, the decoration of the hemicycle (auditorium) of the École des Beaux-Arts, which took him four years to complete. This work was considered a success by most conservative and moderate critics. With the 1840s portraiture became a substantial part of his production. At the end of his life, he had begun a four-picture series of scenes from the life of the Virgin and completed one (The Virgin Contemplating the Crown of Thorns, 1856). Delaroche's teaching atelier attracted a variety of young artists, such as Couture (q.v.), Gérôme (q.v.), and Millet (q.v.). Delaroche closed the studio in 1843 after the death of one of his students during a hazing prank."", 'name_in_original_language': None, 'birth_year': '1797', 'death_year': '1856'}]"
